другой: другого другому
полученные: полученные
следовательно: следовательно
удалось: удалось
общежитие: общежитиях
каждый: каждой
сохраниться: сохраниться
прорисовка: прорисовка
примерно: примерно
достаточный: достаточно
принять: приняли
основа: основе
восьмеркой: восьмеркой
оси: оси
найденным: найденным
микроскульптура: микроскульптура
наличие: наличием
улучшение: улучшение
иметься: имеются имеется
цикада: цикад
ротовой: ротового
длинный: длинные
эволюция: эволюции
непосредственный: непосредственно
сеноедами: сеноедами
история: историю истории
траншея: траншеях
избегать: избегают
внутренний: внутренний
свидетельствовать: свидетельствует
мести: мела
динозаврового: динозаврового
мощный: мощные мощная
встречаться: встречаются встречается
определить: определить
перо: пера перо перьев перьями перья пере перьях пером
эффективный: эффективно
прежнему: прежнему
короткий: короткими
картинка: картинку
пухоедов: пухоедов
найденной: найденной
выраженной: выраженной
вывод: выводы
знакомство: знакомстве
считаться: считаются
связана: связана
видный: видно
птица: птицы птицах птиц птице птицами
сила: силами
ожидать: ожидает
различный: различный различной
лежать: лежат
бородка: бородки бородкам бородках бородке
принадлежать: принадлежат принадлежать
обратиться: обратился
млн: млн
удалять: удаляют
похожий: похоже
оболочка: оболочка
обыденный: обыденную
утрачена: утрачена
поверхность: поверхности
популяция: популяцию
включать: включает
расселение: расселении
сажая: сажая
микроскоп: микроскопа
ранее: ранее
солдат: солдат
насчитать: насчитали
образец: образце
антипедикулезные: антипедикулезные
второй: вторую
рука: руки
редкий: редких редко
скелет: скелет
мезофтирусы: мезофтирусы
сша: сша
иметь: имеют имеет
волос: волос волосами волосе
предположить: предположить
прыгучих: прыгучих
голодать: голодать
выясниться: выяснилось
день: дня
сложнее: сложнее
способ: способ способы
валяться: валялось
итого: итого
эктопаразитов: эктопаразитов
доказывать: доказывает
александр: александр
самолете: самолете
просмотреть: просмотрели
небольшой: небольшой
ножка: ножками
засыпать: засыпало
схема: схеме
сканирующего: сканирующего
художественный: художественная
кожа: кожи
расставание: расставания
внутри: внутри
зауродектес: зауродектес
млекопитающий: млекопитающие млекопитающих
маловероятен: маловероятен
размер: размеры
яйцо: яйца яйцами яиц яйцо яйцах
зверь: звери зверя зверях
дело: дело
смочь: смогли
пухоеда: пухоеда
позвоночный: позвоночных
несчастье: несчастью
грызущих: грызущих
форезия: форезия
который: котором которыми которое которым
паразит: паразиты паразитов
одним: одним
пухоедами: пухоедами
составлять: составляет
отряд: отряда отряд отряду
пухоед: пухоед
свернутые: свернутые
бродяжками: бродяжками
длина: длина длиной длины
