сомнение: сомнением
отсутствовать: отсутствуют отсутствует
повышенный: повышенной повышенному
вместе: вместе
белка: белок
концентрация: концентрации
основа: основе
пар: пара
описанный: описаны описанного
единственный: единственный
способствовать: способствуют
фильтрующая: фильтрующая
увы: увы
карбонатный: карбонатный
зависимость: зависимости
содержание: содержанию
подвижный: подвижному
публика: публике
вписываться: вписываются
данный: данном
обновленным: обновленным
хордовые: хордовые
устойчивый: устойчивые
ожидать: ожидает
деталь: деталях деталь
коллега: коллегами
хвост: хвостов
число: числу
указывать: указывают
кембрийского: кембрийского
мускул: мускулов
фосфорильные: фосфорильные
весьма: весьма
суд: суд
мезозойский: мезозойского
попадаться: попадаются
зигзагообразно: зигзагообразно
диск: дисков диски
колумбия: колумбия
распадаться: распадаются
медь: меди
отпечаток: отпечатки отпечаток отпечатков отпечатка отпечатку
тяж: тяжами тяжи
ячеи: ячеи
голова: голове
закономерность: закономерностями
поверхность: поверхности
некоторые: некоторых некоторым
щупиков: щупиков
благодаря: благодаря
подверженный: подвержены
реконструкция: реконструкция
заканчиваться: заканчивается
щель: щели щелями
глоточный: глоточный
наличие: наличие
начинать: начинают
отсохнуть: отсох
остаток: остатки остатков остатке
признаться: признаются
непосредственный: непосредственных
предшественник: предшественников
магнезиального: магнезиального
хрящ: хрящ
межклеточный: межклеточной
слепок: слепки слепка слепок
линять: линяют
наружный: наружными наружных наружные
двуногий: двуногие
хордовыми: хордовыми
оконтурена: оконтурена
взяться: взялись
кальций: кальция
пигмент: пигментам
скелетной: скелетной
хайкоуеллой: хайкоуеллой
ланцетника: ланцетника
отозвать: отозвали
нехватка: нехватка
составлять: составляют
нанкинского: нанкинского
луч: лучами
исследование: исследований
равный: равно
объект: объекты
являться: является
среда: среде среды
заяц: заяц
статья: статье статей статью статьи
быстрый: быстро
прояснить: прояснить
делать: делает делать делали
достает: достает
обзавестись: обзавелись
юта: юта
отдельный: отдельной
косорасположенными: косорасположенными
адгезии: адгезии
радиодонтов: радиодонтов
оставшейся: оставшейся
китайский: китайского китайской
чэнцзян: чэнцзян
вероятность: вероятностью
окуляр: окуляр
гидроксилапатита: гидроксилапатита
остаться: осталось останется остались
мускульный: мускульные
зомби: зомби
принадлежать: принадлежал принадлежит
вода: вода воду
членистоногих: членистоногих
ячеистых: ячеистых
век: века
удлиненное: удлиненное
ранее: ранее
ячеистыми: ячеистыми
простор: простор
процесс: процесс процессом
тончайший: тончайших
факт: факт
принимать: принимали
крайний: крайней
заставлять: заставляют
сворованных: сворованных
палеозойский: палеозойский
редкий: редко
мышечный: мышечные
скелетных: скелетных
востребован: востребован
другой: другими другим другого
снизу: снизу
строение: строение строению строением
прежнему: прежнему
претендент: претенденты
сходный: сходным
преподносить: преподносят
двух: двумя
образец: образца образцов
ген: гены
нижний: нижние нижних
причем: причем
бесчелюстных: бесчелюстных
появляться: появляются
ранний: ранняя
клетка: клетки
лучший: лучших
выявление: выявления
кислород: кислород
уверенность: уверенностью
совершенный: совершенно
отдел: отдел
всякий: всяком
спор: споры
утихать: утихают
парный: парные
ящерица: ящерицей
тень: тень
кололит: кололит
кембрийское: кембрийское
биоминеральный: биоминеральный
скорый: скорее
периодически: периодически
цвет: цветом
кислотность: кислотность
перефразировать: перефразировать
мкм: мкм
видный: видны видна
динозавр: динозавр
вторичноротое: вторичноротое
элементного: элементного
система: системы система
пикайя: пикайя
способствующие: способствующие
садиться: садиться
дурофагов: дурофагов
хайкоуихта: хайкоуихта
каменный: каменный
поддерживаемый: поддерживаемый
сухой: сухом
среднекембрийского: среднекембрийского
кучка: кучку
альтернативный: альтернативная
юньнанозоон: юньнанозоон
позвоночник: позвоночника
основы: основы
скрепя: скрепя
вторичноротым: вторичноротым
образующего: образующего
ждет: ждет
противоотпечатка: противоотпечатка
филаменты: филаменты
отрицательный: отрицательно
нос: носу
верный: верна
нераспавшиеся: нераспавшиеся
ставших: ставших
фанчень: фанчень
чжончжианихта: чжончжианихта
непростой: непросто
предложить: предложил
говоря: говоря
осадка: осадке
важный: важных важного
британский: британская
металл: металлов
нуучихт: нуучихт
образ: образом
конодонтоносцы: конодонтоносцы
скелет: скелеты скелет скелета
полухордовых: полухордовых
видеться: виделась
подготовленный: подготовленный
китай: китай
вторичноротых: вторичноротых
чешуя: чешуи
терминальный: терминальное
лагерштетты: лагерштетты
органический: органические органическое органического
обычный: обычной
отделяться: отделяется
подобный: подобная
теряющие: теряющие
впечатление: впечатление
значительный: значительному
ветуликолии: ветуликолии
степень: степень
элементный: элементный
просматриваются: просматриваются
метасприггины: метасприггины
аминокислотный: аминокислотные
причина: причине
отличаться: отличается отличаются
присовокуплять: присовокуплять
распалиться: распались
примечательный: примечательно примечателен
пустой: пустой
радиодонтами: радиодонтами
пищеварительный: пищеварительная пищеварительного пищеварительный
открывавшиеся: открывавшиеся
основание: основанием основание
категория: категории
образоваться: образуются образуется
окруженный: окруженный
целиком: целиком
например: например
претендовать: претендовать
соотечественник: соотечественник
младший: младшего
активный: активном активной
качество: качество
сверху: сверху
гидроксильные: гидроксильные
минога: миног миноги
похожий: похожее похоже похожи
выходя: выходя
выйти: вышел
центр: центру
хитиновые: хитиновые
жаберный: жаберными жаберные жаберных жаберной жаберного
шаровидный: шаровидные
дается: дается
осваивать: осваивать
плотный: плотные плотными
род: рода
тергитов: тергитов
фосфата: фосфата
неоднозначный: неоднозначная
палеонтолог: палеонтологов палеонтологами палеонтолога
придающим: придающим
напрасный: напрасно
оттуда: оттуда
губа: губах
практически: практически
лишний: лишним
соответствовать: соответствует
трилобит: трилобиты
зигзагообразный: зигзагообразными
туникатами: туникатами
старший: старшего
штат: штате
этап: этапа
размер: размер
кандидат: кандидатом
нечитаемая: нечитаемая
расположенный: расположенных расположенные расположены
глядя: глядя
протягиваться: протягивается
хорды: хорды
явный: явного
известковый: известковый
дисковидный: дисковидные
пескаву: пескаву
марджум: марджум
состоять: состояли состоят
палеонтология: палеонтологии
миотомов: миотомов
речь: речь
лучшее: лучшем
содержимое: содержимого
кристаллографические: кристаллографические
отсутствие: отсутствие
чжэхольским: чжэхольским
чжэхоль: чжэхоль
требоваться: требуются требуется
внутренний: внутренней
часть: часть
конец: концы конце
хрящевой: хрящевой
проводиться: проводились
тысяча: тысячи
устроены: устроены
воскрешение: воскрешения
всуе: всуе
панцирь: панцирь
образуя: образуя
оставлять: оставляют
окраска: окраску
впоследствии: впоследствии
синеть: синей
загадочный: загадочные
прочий: прочих
прочный: прочным прочного прочные прочнее
художественный: художественная
сердце: сердцем сердце
синоним: синонима
хвостовой: хвостовую хвостовой
специалист: специалисты
роль: роль
возраст: возраст возраста
передний: передней переднюю
описание: описании описания
выползти: выползти
единичный: единичные единичным единичных
последующий: последующих
ветуликолий: ветуликолий
костя: кости
существ: существ
исключено: исключено
вещество: вещество вещества
заряженный: заряженных заряженные
пища: пище
невидаль: невидаль
удачный: удачные
кембрийским: кембрийским
двойник: двойника
температура: температуры
стержень: стержни стержнях
метасприггиной: метасприггиной
червь: червей червя
северо: северо
привязка: привязки
помещать: помещают
склонный: склонные
пустовать: пустую
юньнань: юньнань
нескольким: нескольким
брюшко: брюшке брюшко брюшком
автор: автора авторам авторы
фото: фото
аппарат: аппарата
обратиться: обратилось
распавшихся: распавшихся
утверждать: утверждать
начинаться: начинается
группа: группы
кровеносный: кровеносная кровеносной
мягкий: мягких мягко мягкие
чжао: чжао
ряд: ряда
расположение: расположение
предок: предкам предком
сша: сша
сделанный: сделанный
панцирем: панцирем
начнем: начнем
источник: источник
большеротыми: большеротыми
десяток: десятка десяткам
выявить: выявили
отложение: отложений
откуда: откуда
просматривается: просматривается
упоминаться: упоминались
систематика: систематики
основный: основному
интересный: интересными интересное
изучение: изучении
параллельный: параллельно параллельной
объяснимый: объяснимым
ион: ионы
полоска: полосками полоской
желточный: желточный
канада: канады канада
разложение: разложению
распределение: распределения
бублик: бублика
интерпретация: интерпретация
решетку: решетку
винтообразный: винтообразный
андрей: андрей
перемычка: перемычки
честный: честно
позвоночный: позвоночное позвоночным позвоночных позвоночные позвоночного
процент: процента
хордовых: хордовых
малоподвижный: малоподвижные
миллокуньмингия: миллокуньмингия
одноименные: одноименные
миомеры: миомеры
поставленный: поставленных
слепенький: слепенькая
фосфатного: фосфатного
вывод: выводу
какой: каких какого какие
наверное: наверное
древние: древним древних
перегородка: перегородками
стернитов: стернитов
сестринский: сестринской
позиция: позиция
вопрос: вопросы вопрос
книга: книги
картирование: картирование
главное: главное
канадасписы: канадасписы
биоминералов: биоминералов
возрастать: возрастает
вдоль: вдоль
целый: целого целом
названный: названные
семья: семью
постоянный: постоянно
задний: задний задним
микроскоп: микроскопа
сопоставлять: сопоставлять
рождение: рождения
запад: западе
высокий: выше
день: дней
разный: разных
выбоина: выбоины
древнейший: древнейшее древнейшего
предел: пределах
недостаточный: недостаточно
предположительный: предположительные
полость: полости полостью
размышление: размышления
древний: древнее древней
фосфатный: фосфатный
канал: канал
шип: шип
показан: показан
сайт: сайта
нуучихтом: нуучихтом
ископаемое: ископаемое ископаемых
округлый: округлые
обойденного: обойденного
аномалокаридид: аномалокаридид
произойти: произошло
змея: змеи змея
мелового: мелового
остальное: остальное остального остальным
данные: данных
ставший: ставший
внешний: внешнего
диаметр: диаметре
выродиться: выродилась
связь: связь
окаменелость: окаменелости
располагаться: располагаются
стык: стыки
обсуждаемой: обсуждаемой
таковой: таковой
оконтурены: оконтурены
море: морем
спикульные: спикульные
затвердевшем: затвердевшем
хищничали: хищничали
коллекция: коллекций
любой: любых
множество: множество
примитивный: примитивным примитивное
больший: большим большие
кстати: кстати
трехслойным: трехслойным
различимый: различимы
губка: губки
юньнани: юньнани
граница: границами границы границ
брюшной: брюшной брюшными
длина: длина
включая: включая
карапакс: карапакс
иметь: имел имеет
микрофибрилл: микрофибрилл
открытый: открытая открыто открытые
раз: раза
объемный: объемный
новый: новое новым нового
микрофибриллы: микрофибриллы
общий: общего
дырка: дырки
сохранившиеся: сохранившиеся
пикайи: пикайи
несмотря: несмотря
попасть: попало
кольчатый: кольчатых
конкретный: конкретной
структура: структуры структур структура
кишечник: кишечник кишечника
удружить: удружила
иметься: имелся
движение: движении
ткань: тканей ткани тканях
современник: современник
распад: распаду
сохраняться: сохраняется
африка: африку
животное: животных животным животного животные
суммировать: суммировать
орган: органы
шкурка: шкуркой
фоссилизации: фоссилизации
сам: самое
стрелка: стрелкой
контур: контуру
представитель: представителей
развитие: развитии развития развитием
серийный: серийно
фосфор: фосфора
первый: первая первых первые
недлинный: недлинный
параметр: параметрам
членистый: членистое
вид: вида виде вид
пример: примеру
непонятный: непонятно
фильтраторами: фильтраторами
темным: темным
карапаксом: карапаксом
жабры: жабрами жабрах жабры
провинция: провинция
катаймиром: катаймиром
фотография: фотография
сравниваться: сравнивается
нервный: нервная нервными нервные
кембрийских: кембрийских
молекула: молекулы
набираться: набирается
водоемы: водоемы
хондроцитов: хондроцитов
сланец: сланца сланцев
таблица: таблица
странный: странные
цефалохордаты: цефалохордаты
упираться: упирались
лабильный: лабильные
лагерштетте: лагерштетте
взгляд: взгляд
популяризатор: популяризаторов
фибриллина: фибриллина
построенных: построенных
миомерное: миомерное
покров: покровы покровов
описывать: описывают
матрикса: матрикса
тесный: тесным
анализ: анализа анализ
слева: слева
эпоха: эпоха
диковина: диковины
миомеров: миомеров
зубной: зубными
сравнимый: сравнимые сравнимы
тракт: тракта тракт
щупики: щупики
миксины: миксины
потребление: потребления потребление
рис: рис
электронный: электронная электронного
предоставить: предоставил
представленный: представлена
след: следы
мех: мехом
частичный: частично
минерал: минералами минералов
свой: своими своему своим
положительный: положительно
иллюстрация: иллюстрации
дентин: дентина
частить: части
гипотеза: гипотеза
близкий: ближе
неудивительный: неудивительно
продольный: продольные продольных
гонады: гонады
современный: современных современного
меря: мере
спрессованного: спрессованного
существо: существо существа существом
миотомы: миотомы
многие: многие
пищать: пищи
правда: правда
расставаясь: расставаясь
фильтруй: фильтруй
условие: условия
ротовой: ротовое
массовый: массовым
частый: частую
древо: древа
ветвь: ветвью ветви
подробнее: подробнее
уверенный: уверены
перечень: перечень
достижение: достижения
расходящиеся: расходящиеся
темного: темного
мозг: мозгом мозга
хондроциты: хондроциты
мягкотелый: мягкотелым мягкотелых
заметка: заметки
последний: последние последнем
судить: судить
влиять: влияет
известный: известное известно известными известным известны
корень: корнями
аналогия: аналогии
вторичноротые: вторичноротые
недостаток: недостатке недостатка
экземпляр: экземпляры экземплярам экземпляра экземпляр
юньнанозоона: юньнанозоона
ничем: ничем
твердых: твердых
четырех: четырех
микроскопия: микроскопия
среднекембрийских: среднекембрийских
приложение: приложении
порода: породы
боковой: боковой
заместились: заместились
раннекембрийская: раннекембрийская
миксин: миксин
пресный: пресные
растворение: растворению
организм: организмов организма организме
акула: акулы
место: месте
язык: языке
глиняный: глиняные
эмаль: эмали
пора: порой поры
туловище: туловища
институт: института
продолговатый: продолговатые
обнаружен: обнаружен
элементное: элементное
подчеркивается: подчеркивается
плавник: плавниками плавники плавник плавника плавников
мешок: мешками мешок
прошлое: прошлого
хордовое: хордовое
относить: относят
обзор: обзоре
хрящевые: хрящевые
бёрджесс: бёрджесс
картина: картины
зубастый: зубастыми
обладать: обладают
несущий: несущими
плоский: плоские
напоминающих: напоминающих
начать: начали
испытывать: испытывали
головной: головной головным головного
сходящиеся: сходящиеся
элементному: элементному
гораздо: гораздо
природа: природе
волокно: волокнам
ссылаться: ссылаются
аналог: аналоги
сбоку: сбоку
приборостроение: приборостроения
обжигаться: обжигались
микроскопический: микроскопическое
сообщать: сообщают
малёк: мальки
спинной: спинной спинными
кремневый: кремневый
отверстие: отверстие
глаз: глазами глаз глаза
очередь: очередь
относиться: относиться
лепесток: лепестков
взятых: взятых
выражение: выражение
млн: млн
летний: летним
название: названиями названием
подвел: подвел
отпрепарированные: отпрепарированные
карон: карон
участь: участь
принять: принять приняли
стараться: стараются
журавлев: журавлев
количество: количеством
наймарк: наймарк
напоследок: напоследок
долихозавром: долихозавром
собраны: собраны
анальный: анального
карбонат: карбоната
полусегментов: полусегментов
дочистить: дочистили
вроде: вроде
геология: геологии
появиться: появились появился появилась
восток: востока
линялый: линялой
крона: кроной
пескоройку: пескоройку
появившиеся: появившиеся
описать: описать
обязательный: обязательными
членистоногого: членистоногого
пятно: пятно пятном
опыт: опытов опыты опытах
дело: дело
получать: получаем
минерализации: минерализации
нужный: нужны
красный: красной красным
биоминерализации: биоминерализации
ветуликолиями: ветуликолиями
девонский: девонского
отпрепарировали: отпрепарировали
существами: существами
положение: положении положение
темное: темное
навсегда: навсегда
пластина: пластинами
предположение: предположении
хордового: хордового
выясняться: выясняется
изобразить: изобразили
слой: слоя
верхний: верхнюю верхние верхней верхних верхний
образовывать: образовывали
музейный: музейных
увидеть: увидели
пояснить: поясню
зуб: зубов зубы
представить: представить
лопасть: лопасть
переносить: переносил
неутешительный: неутешительная
фрагмент: фрагмент
восемьдесят: восемьдесят
разделенных: разделенных
внеклеточного: внеклеточного
разветвленные: разветвленные
изменение: изменениями
зимний: зимним
хороший: хорошем хороший
аорта: аортами
старый: старых старый
помешать: помешало
период: периоде периода
оказавшихся: оказавшихся
комель: комель
исследователь: исследователи
среди: среди
пойдет: пойдет
комнатный: комнатной
кость: костями
резервуар: резервуар
либо: либо
считать: считают
такой: таких такого
признак: признаков признак признакам признака
поперечный: поперечные
элемент: элементами элементы элементов
обнаружиться: обнаружились
моллюск: моллюсков
скол: сколы
прямой: прямо
приапулид: приапулид
сегментированную: сегментированную
уплощенные: уплощенные
обширный: обширной обширный
видимый: видим видимо
заметить: заметьте
сокрытый: сокрытый
журавлева: журавлева
история: история
линяющих: линяющих
музей: музея
сожаление: сожалению
наоборот: наоборот
примерно: примерно
рассмотреть: рассмотреть
ученые: ученые
четырехлапая: четырехлапая
исключительный: исключительно
собранный: собранные
стать: стали станешь
железо: железа
сложиться: сложилось
никак: никак
труд: трудом
заливкой: заливкой
неважный: неважно
понять: понять
самый: самым самый самые самых
обсохнуть: обсохло
сделанная: сделанная
захораниваются: захораниваются
оказаться: оказалась оказался оказалось
колибри: колибри
оставаться: остаются
бездонный: бездонного
наука: наук
следовать: следует
уцелеть: уцелеть уцелеет
который: которому
